"stock.code","name","date","time","open","high","low","close","volumw","turover","match_items","interest"
"600000.SH","浦发银行",20100104,151500000,90939,91106,88148,88273,66191338,1419984110,2762,0
"600000.SH","浦发银行",20100105,151500000,89190,89898,86607,88940,115147943,2436890930,2794,0
"600000.SH","浦发银行",20100106,151500000,88690,88732,86982,87190,96782575,2034174030,2790,0
"600000.SH","浦发银行",20100107,151500000,86982,87648,84566,85232,85236072,1761800960,2781,0
"600000.SH","浦发银行",20100108,151500000,84732,86649,84566,86190,65707646,1349532400,2781,0
"600000.SH","浦发银行",20100111,151500000,89981,90814,85690,86190,116304812,2456819000,2799,0
"600000.SH","浦发银行",20100112,151500000,85940,87357,84399,86649,82351139,1691919880,2795,0
"600000.SH","浦发银行",20100113,151500000,84357,84774,82483,82608,146399684,2930936720,2803,0
"600000.SH","浦发银行",20100114,151500000,82774,83399,81816,83191,77340771,1535655470,2782,0
"600000.SH","浦发银行",20100115,151500000,83399,84357,82150,83483,69183668,1384564640,2803,0
"600000.SH","浦发银行",20100118,151500000,82941,84524,82774,84316,69940218,1408342620,2429,0
"600000.SH","浦发银行",20100119,151500000,84357,85774,84191,84774,69966139,1428370740,2767,0
"600000.SH","浦发银行",20100120,151500000,85066,85524,81650,82441,80776510,1612704730,2784,0
"600000.SH","浦发银行",20100121,151500000,82816,85690,82316,85274,93418186,1888959510,2765,0
"600000.SH","浦发银行",20100122,151500000,84149,87898,83358,87065,154445976,3188523860,2797,0
"600000.SH","浦发银行",20100125,151500000,85649,87398,85066,85232,80232725,1658596990,2774,0
"600000.SH","浦发银行",20100126,151500000,85357,87065,84024,86190,91936559,1885519200,2790,0
"600000.SH","浦发银行",20100127,151500000,86107,86649,82399,82733,94264363,1898605110,2760,0
"600000.SH","浦发银行",20100128,151500000,82399,82691,80733,82066,58691704,1152620120,2732,0
"600000.SH","浦发银行",20100129,151500000,81650,83483,81150,81733,53690104,1062334280,2734,0
"600000.SH","浦发银行",20100201,151500000,81733,81733,79150,80067,51669420,994322850,2759,0
"600000.SH","浦发银行",20100202,151500000,80525,82066,79858,80150,48969591,951736980,2718,0
"600000.SH","浦发银行",20100203,151500000,80442,83024,79192,82858,76493075,1499985350,2759,0
"600000.SH","浦发银行",20100204,151500000,81691,82858,81650,81900,46162099,909308990,2673,0
"600000.SH","浦发银行",20100205,151500000,79983,81983,79817,80900,43895954,850183260,2632,0
"600000.SH","浦发银行",20100208,151500000,81025,81233,79483,80067,37230982,716731660,1893,0
"600000.SH","浦发银行",20100209,151500000,79983,81191,79858,80900,26496190,513741760,1820,0
"600000.SH","浦发银行",20100210,151500000,81608,82275,81233,81983,30709495,602686030,1804,0
"600000.SH","浦发银行",20100211,151500000,82025,82483,81608,81816,27375492,538434170,2397,0
