"pre","result","stock.price","stock.time","stock.code","stock.name","stock.date","trade","strategy","strategy.b","strategy.s"
"0","1",15.6321,"2016-03-17 15:15:00","600000.SH","浦发银行",2016-03-17,-1,0,0,0
"0","1",15.7558,"2016-03-18 15:15:00","600000.SH","浦发银行",2016-03-18,-1,0,0,0
"0","1",15.9501,"2016-03-21 15:15:00","600000.SH","浦发银行",2016-03-21,-1,0,0,0
"0",NA,16.0296,"2016-03-22 15:15:00","600000.SH","浦发银行",2016-03-22,-1,0,0,0
"0","0",16.0119,"2016-03-23 15:15:00","600000.SH","浦发银行",2016-03-23,-1,0,0,0
"1",NA,15.6498,"2016-03-24 15:15:00","600000.SH","浦发银行",2016-03-24,1,1,1,0
"0","0",15.6675,"2016-03-25 15:15:00","600000.SH","浦发银行",2016-03-25,-1,0,0,0
"1",NA,15.4114,"2016-03-28 15:15:00","600000.SH","浦发银行",2016-03-28,1,0,0,0
"0","1",15.4114,"2016-03-29 15:15:00","600000.SH","浦发银行",2016-03-29,-1,0,0,0
"0","1",15.7823,"2016-03-30 15:15:00","600000.SH","浦发银行",2016-03-30,-1,-1,-1,-1
"0","1",15.8353,"2016-03-31 15:15:00","600000.SH","浦发银行",2016-03-31,-1,0,0,0
"0",NA,16.0561,"2016-04-01 15:15:00","600000.SH","浦发银行",2016-04-01,-1,0,0,0
"0","0",16.0472,"2016-04-05 15:15:00","600000.SH","浦发银行",2016-04-05,-1,0,0,0
"0","0",15.8618,"2016-04-06 15:15:00","600000.SH","浦发银行",2016-04-06,-1,0,0,0
"1","0",15.6233,"2016-04-07 15:15:00","600000.SH","浦发银行",2016-04-07,1,1,1,1
"0","1",15.5438,"2016-04-08 15:15:00","600000.SH","浦发银行",2016-04-08,-1,0,0,0
"0","0",15.6057,"2016-04-11 15:15:00","600000.SH","浦发银行",2016-04-11,-1,0,0,0
"0","1",15.5615,"2016-04-12 15:15:00","600000.SH","浦发银行",2016-04-12,-1,0,0,0
"0","1",15.6675,"2016-04-13 15:15:00","600000.SH","浦发银行",2016-04-13,-1,0,0,0
"0","1",15.7205,"2016-04-14 15:15:00","600000.SH","浦发银行",2016-04-14,-1,-1,-1,-1
"0","0",15.8,"2016-04-15 15:15:00","600000.SH","浦发银行",2016-04-15,-1,0,0,0
"0","1",15.7293,"2016-04-18 15:15:00","600000.SH","浦发银行",2016-04-18,-1,0,0,0
"0","1",15.8088,"2016-04-19 15:15:00","600000.SH","浦发银行",2016-04-19,-1,0,0,0
"0","1",15.8618,"2016-04-20 15:15:00","600000.SH","浦发银行",2016-04-20,-1,0,0,0
"0","1",16.0031,"2016-04-21 15:15:00","600000.SH","浦发银行",2016-04-21,-1,0,0,0
"0","0",16.1091,"2016-04-22 15:15:00","600000.SH","浦发银行",2016-04-22,-1,0,0,0
"0","1",15.7911,"2016-04-25 15:15:00","600000.SH","浦发银行",2016-04-25,-1,0,0,0
"0","0",15.8264,"2016-04-26 15:15:00","600000.SH","浦发银行",2016-04-26,-1,0,0,0
"0","1",15.7735,"2016-04-27 15:15:00","600000.SH","浦发银行",2016-04-27,-1,0,0,0
"0","0",15.8088,"2016-04-28 15:15:00","600000.SH","浦发银行",2016-04-28,-1,0,0,0
"0","1",15.747,"2016-04-29 15:15:00","600000.SH","浦发银行",2016-04-29,-1,0,0,0
"0","0",16.0031,"2016-05-03 15:15:00","600000.SH","浦发银行",2016-05-03,-1,0,0,0
"0",NA,15.9678,"2016-05-04 15:15:00","600000.SH","浦发银行",2016-05-04,-1,0,0,0
"0","0",15.9501,"2016-05-05 15:15:00","600000.SH","浦发银行",2016-05-05,-1,0,0,0
"1","0",15.6586,"2016-05-06 15:15:00","600000.SH","浦发银行",2016-05-06,1,1,1,1
"1",NA,15.4643,"2016-05-09 15:15:00","600000.SH","浦发银行",2016-05-09,1,0,0,0
"0",NA,15.4378,"2016-05-10 15:15:00","600000.SH","浦发银行",2016-05-10,-1,0,0,0
"0","0",15.4114,"2016-05-11 15:15:00","600000.SH","浦发银行",2016-05-11,-1,0,0,0
"0","0",15.376,"2016-05-12 15:15:00","600000.SH","浦发银行",2016-05-12,-1,0,0,0
"1","1",15.2259,"2016-05-13 15:15:00","600000.SH","浦发银行",2016-05-13,1,0,0,0
"0","0",15.27,"2016-05-16 15:15:00","600000.SH","浦发银行",2016-05-16,-1,0,0,0
"0","1",15.2347,"2016-05-17 15:15:00","600000.SH","浦发银行",2016-05-17,-1,0,0,0
"0","0",15.5085,"2016-05-18 15:15:00","600000.SH","浦发银行",2016-05-18,-1,0,0,0
"0","1",15.323,"2016-05-19 15:15:00","600000.SH","浦发银行",2016-05-19,-1,0,0,0
"0","1",15.4114,"2016-05-20 15:15:00","600000.SH","浦发银行",2016-05-20,-1,0,0,0
"0",NA,15.4997,"2016-05-23 15:15:00","600000.SH","浦发银行",2016-05-23,-1,0,0,0
"0","1",15.4997,"2016-05-24 15:15:00","600000.SH","浦发银行",2016-05-24,-1,0,0,0
"0",NA,15.6057,"2016-05-25 15:15:00","600000.SH","浦发银行",2016-05-25,-1,0,0,0
"0","1",15.6321,"2016-05-26 15:15:00","600000.SH","浦发银行",2016-05-26,-1,0,0,0
"0","1",15.6675,"2016-05-27 15:15:00","600000.SH","浦发银行",2016-05-27,-1,0,0,0
"0","1",15.8529,"2016-05-30 15:15:00","600000.SH","浦发银行",2016-05-30,-1,-1,-1,-1
"0","0",16.1532,"2016-05-31 15:15:00","600000.SH","浦发银行",2016-05-31,-1,0,0,0
"0","0",16.0649,"2016-06-01 15:15:00","600000.SH","浦发银行",2016-06-01,-1,0,0,0
"0",NA,15.9148,"2016-06-02 15:15:00","600000.SH","浦发银行",2016-06-02,-1,0,0,0
"0",NA,15.9059,"2016-06-03 15:15:00","600000.SH","浦发银行",2016-06-03,-1,0,0,0
"0",NA,15.9148,"2016-06-06 15:15:00","600000.SH","浦发银行",2016-06-06,-1,0,0,0
